time_s,worst_distance_m,threshold_m
9.609293628,495.347697866,10.000000000
9.621793628,499.092683143,10.000000000
9.634293628,502.837690307,10.000000000
9.646793628,506.582718875,10.000000000
9.659293628,510.327768373,10.000000000
9.671793628,514.072838346,10.000000000
9.684293628,517.817928348,10.000000000
9.696793628,521.563037948,10.000000000
9.709293628,525.308166727,10.000000000
9.721793628,529.053314278,10.000000000
9.734293628,532.798480205,10.000000000
9.746793628,536.543664124,10.000000000
9.759293628,540.288865659,10.000000000
9.771793628,544.034084447,10.000000000
9.784293628,547.779320134,10.000000000
9.796793628,551.524572377,10.000000000
9.809293628,555.269840839,10.000000000
9.821793628,559.015125196,10.000000000
9.834293628,562.760425129,10.000000000
9.846793628,566.505740329,10.000000000
9.859293628,570.251070497,10.000000000
9.871793628,573.996415338,10.000000000
9.884293628,577.741774568,10.000000000
9.896793628,581.487147909,10.000000000
9.909293628,585.232535089,10.000000000
9.921793628,588.977935845,10.000000000
9.934293628,592.723349919,10.000000000
9.946793628,596.468777060,10.000000000
9.959293628,600.214217024,10.000000000
9.971793628,603.959669572,10.000000000
9.984293628,607.705134471,10.000000000
9.996793628,611.450611495,10.000000000
10.009293628,615.196100422,10.000000000
10.021793628,618.941601036,10.000000000
10.034293628,622.687113126,10.000000000
10.046793628,626.432636486,10.000000000
10.059293628,630.178170915,10.000000000
10.071793628,633.923716217,10.000000000
10.084293628,637.669272201,10.000000000
10.096793628,641.414838679,10.000000000
10.109293628,645.160415469,10.000000000
10.121793628,648.906002391,10.000000000
10.134293628,652.651599272,10.000000000
10.146793628,656.397205941,10.000000000
10.159293628,660.142822232,10.000000000
10.171793628,663.888447981,10.000000000
10.184293628,667.634083029,10.000000000
10.196793628,671.379727221,10.000000000
10.209293628,675.125380405,10.000000000
10.221793628,678.871042432,10.000000000
10.234293628,682.616713155,10.000000000
10.246793628,686.362392433,10.000000000
10.259293628,690.108080127,10.000000000
10.271793628,693.853776100,10.000000000
10.284293628,697.599480219,10.000000000
10.296793628,701.345192353,10.000000000
10.309293628,705.090912374,10.000000000
10.321793628,708.836640158,10.000000000
10.334293628,712.582375583,10.000000000
10.346793628,716.328118527,10.000000000
10.359293628,720.073868874,10.000000000
10.371793628,723.819626510,10.000000000
10.384293628,727.565391320,10.000000000
10.396793628,731.311163196,10.000000000
10.409293628,735.056942029,10.000000000
10.421793628,738.802727713,10.000000000
10.434293628,742.548520145,10.000000000
10.446793628,746.294319223,10.000000000
10.459293628,750.040124847,10.000000000
10.471793628,753.785936920,10.000000000
10.484293628,757.531755346,10.000000000
10.496793628,761.277580032,10.000000000
10.509293628,765.023410885,10.000000000
10.521793628,768.769247816,10.000000000
10.534293628,772.515090735,10.000000000
10.546793628,776.260939557,10.000000000
10.559293628,780.006794196,10.000000000
10.571793628,783.752654568,10.000000000
10.584293628,787.498520593,10.000000000
10.596793628,791.244392189,10.000000000
10.609293628,794.990269278,10.000000000
10.621793628,798.736151783,10.000000000
10.634293628,802.482039627,10.000000000
10.646793628,806.227932737,10.000000000
10.659293628,809.973831039,10.000000000
10.671793628,813.719734462,10.000000000
10.684293628,817.465642935,10.000000000
10.696793628,821.211556389,10.000000000
10.709293628,824.957474757,10.000000000
10.721793628,828.703397971,10.000000000
10.734293628,832.449325966,10.000000000
10.746793628,836.195258678,10.000000000
10.759293628,839.941196044,10.000000000
10.771793628,843.687138002,10.000000000
10.784293628,847.433084491,10.000000000
10.796793628,851.179035450,10.000000000
10.809293628,854.924990823,10.000000000
10.821793628,858.670950550,10.000000000
10.834293628,862.416914574,10.000000000
10.846793628,866.162882841,10.000000000
10.859293628,869.908855295,10.000000000
10.871793628,873.654831883,10.000000000
10.884293628,877.400812551,10.000000000
10.896793628,881.146797248,10.000000000
10.909293628,884.892785921,10.000000000
10.921793628,888.638778522,10.000000000
10.934293628,892.384775001,10.000000000
10.946793628,896.130775308,10.000000000
10.959293628,899.876779396,10.000000000
10.971793628,903.622787219,10.000000000
10.984293628,907.368798729,10.000000000
10.996793628,911.114813882,10.000000000
11.009293628,914.860832632,10.000000000
11.021793628,918.606854936,10.000000000
11.034293628,922.352880750,10.000000000
11.046793628,926.098910032,10.000000000
11.059293628,929.844942739,10.000000000
11.071793628,933.590978832,10.000000000
11.084293628,937.337018268,10.000000000
11.096793628,941.083061008,10.000000000
11.109293628,944.829107013,10.000000000
11.121793628,948.575156244,10.000000000
11.134293628,952.321208663,10.000000000
11.146793628,956.067264232,10.000000000
11.159293628,959.813322915,10.000000000
11.171793628,963.559384676,10.000000000
11.184293628,967.305449478,10.000000000
11.196793628,971.051517286,10.000000000
11.209293628,974.797588066,10.000000000
11.221793628,978.543661784,10.000000000
