seed,iteration,best_duration_s
outward_geometric_start,195,4.588028962
outward_geometric_start,196,4.588029024
outward_geometric_start,197,4.588029024
outward_geometric_start,198,4.588029024
outward_geometric_start,199,4.588029024
outward_geometric_start,200,4.588029024
outward_geometric_start,201,4.588029024
outward_geometric_start,202,4.588029025
outward_geometric_start,203,4.588029040
outward_geometric_start,204,4.588029067
outward_geometric_start,205,4.588029067
outward_geometric_start,206,4.588029067
outward_geometric_start,207,4.588029067
outward_geometric_start,208,4.588029067
outward_geometric_start,209,4.588029074
outward_geometric_start,210,4.588029113
outward_geometric_start,211,4.588029113
outward_geometric_start,212,4.588029113
outward_geometric_start,213,4.588029117
outward_geometric_start,214,4.588029120
outward_geometric_start,215,4.588029195
outward_geometric_start,216,4.588029195
outward_geometric_start,217,4.588029195
outward_geometric_start,218,4.588029195
outward_geometric_start,219,4.588029265
outward_geometric_start,220,4.588029363
outward_geometric_start,221,4.588029363
outward_geometric_start,222,4.588029363
outward_geometric_start,223,4.588029593
outward_geometric_start,224,4.588029593
outward_geometric_start,225,4.588029713
outward_geometric_start,226,4.588029999
outward_geometric_start,227,4.588030274
outward_geometric_start,228,4.588030274
outward_geometric_start,229,4.588030950
outward_geometric_start,230,4.588031705
outward_geometric_start,231,4.588031705
outward_geometric_start,232,4.588032267
outward_geometric_start,233,4.588033596
outward_geometric_start,234,4.588033596
outward_geometric_start,235,4.588035615
outward_geometric_start,236,4.588035615
outward_geometric_start,237,4.588035615
outward_geometric_start,238,4.588036958
outward_geometric_start,239,4.588036958
outward_geometric_start,240,4.588040927
outward_geometric_start,241,4.588040927
outward_geometric_start,242,4.588040927
outward_geometric_start,243,4.588045302
outward_geometric_start,244,4.588045302
outward_geometric_start,245,4.588046776
outward_geometric_start,246,4.588051124
outward_geometric_start,247,4.588051124
outward_geometric_start,248,4.588051611
outward_geometric_start,249,4.588051611
outward_geometric_start,250,4.588051772
outward_geometric_start,251,4.588051772
outward_geometric_start,252,4.588054311
outward_geometric_start,253,4.588054311
outward_geometric_start,254,4.588054311
outward_geometric_start,255,4.588057226
outward_geometric_start,256,4.588057226
outward_geometric_start,257,4.588057226
outward_geometric_start,258,4.588057226
outward_geometric_start,259,4.588057226
outward_geometric_start,260,4.588057226
outward_geometric_start,261,4.588057226
outward_geometric_start,262,4.588057226
outward_geometric_start,263,4.588058766
outward_geometric_start,264,4.588058766
outward_geometric_start,265,4.588058766
outward_geometric_start,266,4.588058766
outward_geometric_start,267,4.588058766
outward_geometric_start,268,4.588058766
outward_geometric_start,269,4.588058766
outward_geometric_start,270,4.588058766
outward_geometric_start,271,4.588058766
outward_geometric_start,272,4.588059321
outward_geometric_start,273,4.588059321
outward_geometric_start,274,4.588059321
outward_geometric_start,275,4.588059321
outward_geometric_start,276,4.588059321
outward_geometric_start,277,4.588059321
outward_geometric_start,278,4.588059321
outward_geometric_start,279,4.588059725
outward_geometric_start,280,4.588059725
outward_geometric_start,281,4.588059914
outward_geometric_start,282,4.588059914
outward_geometric_start,283,4.588059914
outward_geometric_start,284,4.588059914
outward_geometric_start,285,4.588059950
outward_geometric_start,286,4.588059950
outward_geometric_start,287,4.588059950
outward_geometric_start,288,4.588059950
outward_geometric_start,289,4.588059950
outward_geometric_start,290,4.588059950
outward_geometric_start,291,4.588059950
outward_geometric_start,292,4.588059950
outward_geometric_start,293,4.588059950
outward_geometric_start,294,4.588059950
outward_geometric_start,295,4.588059950
outward_geometric_start,296,4.588059950
outward_geometric_start,297,4.588059950
outward_geometric_start,298,4.588059950
outward_geometric_start,299,4.588059950
outward_geometric_start,300,4.588059965
outward_geometric_start,301,4.588059965
outward_geometric_start,302,4.588059965
outward_geometric_start,303,4.588059965
outward_geometric_start,304,4.588059965
outward_geometric_start,305,4.588059965
outward_geometric_start,306,4.588059965
outward_geometric_start,307,4.588059965
outward_geometric_start,308,4.588059965
outward_geometric_start,309,4.588059965
outward_geometric_start,310,4.588059965
outward_geometric_start,311,4.588059965
outward_geometric_start,312,4.588059965
outward_geometric_start,313,4.588059965
outward_geometric_start,314,4.588059965
outward_geometric_start,315,4.588059965
outward_geometric_start,316,4.588059965
outward_geometric_start,317,4.588059965
outward_geometric_start,318,4.588059965
outward_geometric_start,319,4.588059965
outward_geometric_start,320,4.588059965
outward_geometric_start,321,4.588059965
outward_geometric_start,322,4.588059965
outward_geometric_start,323,4.588059967
outward_geometric_start,324,4.588059967
outward_geometric_start,325,4.588059967
outward_geometric_start,326,4.588059967
outward_geometric_start,327,4.588059967
outward_geometric_start,328,4.588059967
outward_geometric_start,329,4.588059967
outward_geometric_start,330,4.588059967
outward_geometric_start,331,4.588059967
outward_geometric_start,332,4.588059967
outward_geometric_start,333,4.588059967
outward_geometric_start,334,4.588059967
outward_geometric_start,335,4.588059967
outward_geometric_start,336,4.588059967
outward_geometric_start,337,4.588059967
outward_geometric_start,338,4.588059967
outward_geometric_start,339,4.588059967
outward_geometric_start,340,4.588059967
outward_geometric_start,341,4.588059967
outward_geometric_start,342,4.588059967
outward_geometric_start,343,4.588059967
outward_geometric_start,344,4.588059967
outward_geometric_start,345,4.588059967
outward_geometric_start,346,4.588059967
outward_geometric_start,347,4.588059967
outward_geometric_start,348,4.588059967
outward_geometric_start,349,4.588059967
outward_geometric_start,350,4.588059967
outward_geometric_start,351,4.588059967
outward_geometric_start,352,4.588059967
outward_geometric_start,353,4.588059967
outward_geometric_start,354,4.588059967
outward_geometric_start,355,4.588059967
outward_geometric_start,356,4.588059967
outward_geometric_start,357,4.588059967
outward_geometric_start,358,4.588059967
outward_geometric_start,359,4.588059967
outward_geometric_start,360,4.588059967
outward_geometric_start,361,4.588059967
outward_geometric_start,362,4.588059967
outward_geometric_start,363,4.588059967
outward_geometric_start,364,4.588059967
outward_geometric_start,365,4.588059967
outward_geometric_start,366,4.588059967
outward_geometric_start,367,4.588059967
outward_geometric_start,368,4.588059967
outward_geometric_start,369,4.588059967
outward_geometric_start,370,4.588059967
outward_geometric_start,371,4.588059967
outward_geometric_start,372,4.588059967
outward_geometric_start,373,4.588059967
outward_geometric_start,374,4.588059967
outward_geometric_start,375,4.588059967
outward_geometric_start,376,4.588059967
outward_geometric_start,377,4.588059967
outward_geometric_start,378,4.588059967
outward_geometric_start,379,4.588059967
outward_geometric_start,380,4.588059967
outward_geometric_start,381,4.588059967
outward_geometric_start,382,4.588059967
outward_geometric_start,383,4.588059967
outward_geometric_start,384,4.588059967
outward_geometric_start,385,4.588059967
outward_geometric_start,386,4.588059967
outward_geometric_start,387,4.588059967
outward_geometric_start,388,4.588059967
outward_geometric_start,389,4.588059967
outward_geometric_start,390,4.588059967
outward_geometric_start,391,4.588059967
outward_geometric_start,392,4.588059967
outward_geometric_start,393,4.588059967
outward_geometric_start,394,4.588059967
outward_geometric_start,395,4.588059967
outward_geometric_start,396,4.588059967
outward_geometric_start,397,4.588059967
outward_geometric_start,398,4.588059967
outward_geometric_start,399,4.588059967
outward_geometric_start,400,4.588059967
outward_geometric_start,401,4.588059967
outward_geometric_start,402,4.588059967
outward_geometric_start,403,4.588059967
outward_geometric_start,404,4.588059967
outward_geometric_start,405,4.587056559
outward_geometric_start,406,4.587056559
outward_geometric_start,407,4.587056559
outward_geometric_start,408,4.587056559
outward_geometric_start,409,4.587056559
outward_geometric_start,410,4.587760270
outward_geometric_start,411,4.587760270
outward_geometric_start,412,4.587760270
outward_geometric_start,413,4.587760270
outward_geometric_start,414,4.587760270
outward_geometric_start,415,4.587760270
outward_geometric_start,416,4.587829380
outward_geometric_start,417,4.587989617
outward_geometric_start,418,4.587989617
