bomb,explosion_time_s,time_s,worst_distance_m,threshold_m
1,3.614000000,5.571710741,8.695963826,10.000000000
1,3.614000000,5.578604089,8.672242305,10.000000000
1,3.614000000,5.585497436,8.648555182,10.000000000
1,3.614000000,5.592390784,8.624902777,10.000000000
1,3.614000000,5.599284132,8.601285412,10.000000000
1,3.614000000,5.606177479,8.577703487,10.000000000
1,3.614000000,5.613070827,8.554157553,10.000000000
1,3.614000000,5.619964175,8.530647646,10.000000000
1,3.614000000,5.626857522,8.507174100,10.000000000
1,3.614000000,5.633750870,8.483737254,10.000000000
1,3.614000000,5.640644218,8.460337450,10.000000000
1,3.614000000,5.647537565,8.436975032,10.000000000
1,3.614000000,5.654430913,8.413650349,10.000000000
1,3.614000000,5.661324261,8.390363752,10.000000000
1,3.614000000,5.668217608,8.367115597,10.000000000
1,3.614000000,5.675110956,8.343906243,10.000000000
1,3.614000000,5.682004304,8.320736050,10.000000000
1,3.614000000,5.688897651,8.297605386,10.000000000
1,3.614000000,5.695790999,8.274514619,10.000000000
1,3.614000000,5.702684347,8.251464121,10.000000000
1,3.614000000,5.709577694,8.228454270,10.000000000
1,3.614000000,5.716471042,8.205485445,10.000000000
1,3.614000000,5.723364390,8.182558030,10.000000000
1,3.614000000,5.730257738,8.159672412,10.000000000
1,3.614000000,5.737151085,8.136829001,10.000000000
1,3.614000000,5.744044433,8.114028553,10.000000000
1,3.614000000,5.750937781,8.091271086,10.000000000
1,3.614000000,5.757831128,8.069115854,10.000000000
1,3.614000000,5.764724476,8.047780819,10.000000000
1,3.614000000,5.771617824,8.026491996,10.000000000
1,3.614000000,5.778511171,8.005249790,10.000000000
1,3.614000000,5.785404519,7.984054611,10.000000000
1,3.614000000,5.792297867,7.962906873,10.000000000
1,3.614000000,5.799191214,7.941807208,10.000000000
1,3.614000000,5.806084562,7.920756022,10.000000000
1,3.614000000,5.812977910,7.899753538,10.000000000
1,3.614000000,5.819871257,7.878800185,10.000000000
1,3.614000000,5.826764605,7.857896394,10.000000000
1,3.614000000,5.833657953,7.837042599,10.000000000
1,3.614000000,5.840551300,7.816239241,10.000000000
1,3.614000000,5.847444648,7.795486761,10.000000000
1,3.614000000,5.854337996,7.774785605,10.000000000
1,3.614000000,5.861231343,7.754136225,10.000000000
1,3.614000000,5.868124691,7.733539073,10.000000000
1,3.614000000,5.875018039,7.712994607,10.000000000
1,3.614000000,5.881911386,7.692503290,10.000000000
1,3.614000000,5.888804734,7.672065586,10.000000000
1,3.614000000,5.895698082,7.651681965,10.000000000
1,3.614000000,5.902591429,7.631352900,10.000000000
1,3.614000000,5.909484777,7.611078950,10.000000000
1,3.614000000,5.916378125,7.590860872,10.000000000
1,3.614000000,5.923271473,7.570698795,10.000000000
1,3.614000000,5.930164820,7.550593205,10.000000000
1,3.614000000,5.937058168,7.530544598,10.000000000
1,3.614000000,5.943951516,7.510553469,10.000000000
1,3.614000000,5.950844863,7.490620320,10.000000000
1,3.614000000,5.957738211,7.470745655,10.000000000
1,3.614000000,5.964631559,7.450929985,10.000000000
1,3.614000000,5.971524906,7.431173821,10.000000000
1,3.614000000,5.978418254,7.411477681,10.000000000
1,3.614000000,5.985311602,7.391842087,10.000000000
1,3.614000000,5.992204949,7.372267563,10.000000000
1,3.614000000,5.999098297,7.352754640,10.000000000
1,3.614000000,6.005991645,7.333303850,10.000000000
1,3.614000000,6.012884992,7.313915865,10.000000000
1,3.614000000,6.019778340,7.294591425,10.000000000
1,3.614000000,6.026671688,7.275330745,10.000000000
1,3.614000000,6.033565035,7.256134375,10.000000000
1,3.614000000,6.040458383,7.237002870,10.000000000
1,3.614000000,6.047351731,7.217936789,10.000000000
1,3.614000000,6.054245078,7.198936693,10.000000000
1,3.614000000,6.061138426,7.180003149,10.000000000
1,3.614000000,6.068031774,7.161136730,10.000000000
