time_s,full_target_worst_distance_m,center_point_distance_m,bottom_center_distance_m,threshold_m
9.01666667,6.08855313,6.04282808,6.07635038,10.00000000
9.03333333,6.02646265,5.98287443,6.01507079,10.00000000
9.05000000,5.96471776,5.92325155,5.95411579,10.00000000
9.06666667,5.90333029,5.86397044,5.89349641,10.00000000
9.08333333,5.84231247,5.80504252,5.83322407,10.00000000
9.10000000,5.78167700,5.74647962,5.77331060,10.00000000
9.11666667,5.72143703,5.68829397,5.71376828,10.00000000
9.13333333,5.66160617,5.63049825,5.65460983,10.00000000
9.15000000,5.60219853,5.57310557,5.59584842,10.00000000
9.16666667,5.54322868,5.51612953,5.53749772,10.00000000
9.18333333,5.48471168,5.45958418,5.47957188,10.00000000
9.20000000,5.42666312,5.40348406,5.42208556,10.00000000
9.21666667,5.36909905,5.34784423,5.36505395,10.00000000
9.23333333,5.31203605,5.29268026,5.30849276,10.00000000
9.25000000,5.25549114,5.23800824,5.25241829,10.00000000
9.26666667,5.19948180,5.18384482,5.19684738,10.00000000
9.28333333,5.14402587,5.13020720,5.14179748,10.00000000
9.30000000,5.08914153,5.07711314,5.08728661,10.00000000
9.31666667,5.03484714,5.02458100,5.03333343,10.00000000
9.33333333,4.98116108,4.97262972,4.97995723,10.00000000
9.35000000,4.92810156,4.92127883,4.92717791,10.00000000
9.36666667,4.87568635,4.87054848,4.87501605,10.00000000
9.38333333,4.82393253,4.82045944,4.82349288,10.00000000
9.40000000,4.77285633,4.77103310,4.77263028,10.00000000
9.41666667,4.72247314,4.72229146,4.72245084,10.00000000
9.43333333,6.44729510,6.44729510,6.44729510,10.00000000
9.45000000,10.50874197,10.50874197,10.50874197,10.00000000
9.46666667,15.13952436,15.13952436,15.13952436,10.00000000
9.48333333,19.94698559,19.94698559,19.94698559,10.00000000
9.50000000,24.82870852,24.82870852,24.82870852,10.00000000
9.51666667,29.74815617,29.74815617,29.74815617,10.00000000
9.53333333,34.68928250,34.68928250,34.68928250,10.00000000
9.55000000,39.64398242,39.64398242,39.64398242,10.00000000
9.56666667,44.60773318,44.60773318,44.60773318,10.00000000
9.58333333,49.57781635,49.57781635,49.57781635,10.00000000
9.60000000,54.55250117,54.55250117,54.55250117,10.00000000
9.61666667,59.53063405,59.53063405,59.53063405,10.00000000
9.63333333,64.51141677,64.51141677,64.51141677,10.00000000
9.65000000,69.49427957,69.49427957,69.49427957,10.00000000
9.66666667,74.47880496,74.47880496,74.47880496,10.00000000
9.68333333,79.46468007,79.46468007,79.46468007,10.00000000
9.70000000,84.45166586,84.45166586,84.45166586,10.00000000
9.71666667,89.43957654,89.43957654,89.43957654,10.00000000
9.73333333,94.42826553,94.42826553,94.42826553,10.00000000
9.75000000,99.41761569,99.41761569,99.41761569,10.00000000
9.76666667,104.40753221,104.40753221,104.40753221,10.00000000
9.78333333,109.39793760,109.39793760,109.39793760,10.00000000
